image,video_pred,minutage_pred,evaluation
i000,v001,0.583333,TP
i001,v050,16.933583,TP
i002,out,,TN
i003,v042,17.250567,TP
i004,v075,1.92,TP
i005,v048,2.6,TP
i006,v042,4.838167,TP
i007,v021,13.72,TP
i008,out,,TN
i009,v064,9.4094,TP
i010,v059,9.366667,TP
i011,v001,0.166667,TP
i012,v062,11.48,TP
i013,v016,4.337667,TP
i014,v089,7.8,TP
i015,v061,0.625625,FP
i016,v094,6.940267,TP
i017,v010,8.8,TP
i018,v081,2.466667,TP
i019,v041,9.050708,TP
i020,v048,2.08,TP
i021,v022,8.883875,TP
i022,v044,0,FP
i023,v070,24.44,TP
i024,v018,11.177833,TP
i025,v079,7.2,TP
i026,v019,3.461792,TP
i027,v060,10.343667,TP
i028,v009,6.48,FP
i029,v048,2.32,TP
i030,v012,9.009,TP
i031,v008,6.4,TP
i032,v022,3.878875,TP
i033,v010,3.64,TP
i034,v048,2.56,TP
i035,v076,7.433333,TP
i036,v032,3.837167,TP
i037,v077,4.337667,TP
i038,v079,2.88,TP
i039,v008,2.8,TP
i040,v046,3.7037,TP
i041,v030,0,FP
i042,v056,10.643967,TP
i043,v034,0.667333,TP
i044,v008,14.24,TP
i045,v006,0.733333,TP
i046,v024,16.1161,TP
i047,v026,11.56,TP
i048,v038,8.375033,TP
i049,v062,7.96,TP
i050,v042,9.075733,TP
i051,v064,2.235567,TP
i052,v028,3.2032,TP
i053,v080,16.282933,TP
i054,v065,7.048708,TP
i055,out,,FN
i056,v082,0,FP
i057,v030,11.44,TP
i058,out,,TN
i059,v046,0,FP
i060,v056,17.3173,TP
i061,v076,8.266667,TP
i062,v024,8.008,TP
i063,v095,3.72,TP
i064,out,,TN
i065,v024,13.546867,TP
i066,v019,1.543208,TP
i067,v066,0,FP
i068,v090,2.135467,TP
i069,v013,9.384375,TP
i070,v027,3.366667,TP
i071,v039,9.75975,TP
i072,v100,10.0,TP
i073,v086,2.76,TP
i074,v065,13.555208,TP
i075,v078,18.059708,TP
i076,v070,23.28,TP
i077,v024,1.2012,TP
i078,v008,10.2,TP
i079,v075,10.36,TP
i080,v015,15.12,TP
i081,v017,3.9,TP
i082,out,,TN
i083,v077,18.1181,TP
i084,v073,7.132125,TP
i085,v026,5.44,TP
i086,v040,8.92,TP
i087,v044,0,FP
i088,v012,0,FP
i089,out,,TN
i090,v089,17.68,TP
i091,v044,0,FP
i092,v087,19.24,TP
i093,v093,4.738067,TP
i094,v030,14.76,TP
i095,out,,TN
i096,v033,7.340667,TP
i097,v055,4.75475,TP
i098,v068,5.36,TP
i099,v055,1.292958,TP
i100,v009,6.6,TP
i101,v044,0,FP
i102,v091,10.677333,TP
i103,v081,1.116667,TP
i104,v025,0.2,TP
i105,v054,0,FP
i106,v012,11.26125,TP
i107,v040,4.64,TP
i108,out,,TN
i109,out,,TN
i110,v011,15.125,TP
i111,v084,5.8,TP
i112,v047,8.174833,TP
i113,v068,4.08,TP
i114,v082,4.938267,TP
i115,v040,0,FP
i116,v071,1.368033,TP
i117,v001,0.916667,TP
i118,v100,2.916667,TP
i119,v050,2.5025,TP
i120,v086,1.04,TP
i121,v025,5.48,TP
i122,v042,10.243567,TP
i123,v077,3.036367,TP
i124,v058,16.733333,TP
i125,v005,0.0,TP
i126,v077,0.1001,TP
i127,v065,8.883875,TP
i128,v051,6.4,TP
i129,v005,11.444767,TP
i130,v072,14.2142,TP
i131,v065,2.961292,TP
i132,v056,8.6086,TP
i133,v058,10.533333,TP
i134,v054,0,FP
i135,v057,7.44,TP
i136,v033,4.771433,TP
i137,v080,0,FP
i138,v099,0,FP
i139,v075,12.72,TP
i140,v049,2.435767,TP
i141,v043,0,FP
i142,v070,3.6,TP
i143,v098,4.2,TP
i144,v090,6.039367,TP
i145,v003,0.1001,TP
i146,v017,0.1,TP
i147,v082,1.85185,FP
i148,v095,14.56,TP
i149,v099,6.733333,TP
i150,v024,6.339667,TP
i151,v051,0.666667,TP
i152,v023,3.8038,TP
i153,out,,TN
i154,v053,14.6,TP
i155,v034,4.045708,TP
i156,out,,TN
i157,v030,4.84,TP
i158,v036,6.433333,TP
i159,v080,2.3023,TP
i160,v007,0,FP
i161,v025,0.2,TP
i162,out,,TN
i163,v030,1.32,TP
i164,v067,4.571233,TP
i165,out,,TN
i166,v097,5.088417,TP
i167,v042,3.9039,TP
i168,v051,3.166667,TP
i169,v049,7.2072,TP
i170,v082,0,FP
i171,v087,9.2,TP
i172,v072,4.137467,TP
i173,v076,7.933333,TP
i174,out,,TN
i175,v067,7.140467,TP
i176,v067,5.038367,TP
i177,v052,1.418083,TP
i178,v045,19.48,TP
i179,v013,13.805458,TP
i180,v032,3.837167,TP
i181,v056,12.8128,TP
i182,v016,6.573233,TP
i183,v026,8.12,TP
i184,v091,0,FP
i185,v013,0.709042,TP
i186,v029,9.133333,TP
i187,v072,7.9079,TP
i188,v041,20.061708,TP
i189,v078,19.894875,TP
i190,v061,0,FP
i191,v015,3.72,TP
i192,out,,TN
i193,v034,6.006,TP
i194,v030,0,FP
i195,v082,2.335667,TP
i196,v046,8.742067,TP
i197,v079,10.12,TP
i198,v100,7.75,TP
i199,v039,1.292958,TP
i200,v034,24.024,TP
i201,v041,21.5215,TP
i202,v015,8.32,TP
i203,v001,10.25,TP
i204,out,,TN
i205,v053,4.52,TP
i206,v078,10.051708,TP
i207,v058,3.5,TP
i208,v048,10.6,TP
i209,out,,TN
i210,v059,5.7,TP
i211,v010,13.48,TP
i212,v049,14.981633,TP
i213,v009,10.84,TP
i214,v012,0,FP
i215,v071,5.1051,TP
i216,out,,TN
i217,v030,0,FP
i218,v079,2.88,TP
i219,v080,0,FP
i220,v019,16.599917,TP
i221,v002,11.25,TP
i222,v017,4.533333,TP
i223,v052,0,FP
i224,v062,0.68,TP
i225,v031,3.68,TP
i226,v089,13.72,TP
i227,v093,1.067733,TP
i228,v036,0.833333,TP
i229,v012,10.802458,TP
i230,out,,TN
i231,v016,0,FP
i232,v066,5.933333,TP
i233,v084,11.52,TP
i234,v004,5.32,TP
i235,v044,0,FP
i236,v007,14.280933,TP
i237,v003,0.4004,TP
i238,v061,0,FP
i239,v094,12.479133,TP
i240,v032,4.9049,TP
i241,v091,9.7097,TP
i242,v019,13.805458,TP
i243,v044,0,FP
i244,v046,3.837167,TP
i245,v040,1.84,TP
i246,v037,8.2,TP
i247,v065,1.25125,TP
i248,v006,5.133333,TP
i249,v023,1.234567,TP
i250,v020,7.28,TP
i251,v033,11.1111,TP
i252,v055,8.675333,TP
i253,v089,4.52,TP
i254,v041,0.375375,TP
i255,v043,0,FP
i256,v054,5.6056,TP
i257,v062,0,FP
i258,v058,0.033333,TP
i259,v074,9.433333,TP
i260,v064,2.936267,TP
i261,v072,0,FP
i262,v076,10.1,TP
i263,v023,5.338667,TP
i264,v085,0.125125,TP
i265,v012,0,FP
i266,v099,0,FP
i267,v043,0,FP
i268,v092,17.951267,TP
i269,v004,0,FP
i270,v010,3.48,TP
i271,v061,0,FP
i272,out,,TN
i273,v012,0,FP
i274,v091,2.168833,TP
i275,v018,11.886875,TP
i276,v007,0,FP
i277,v034,23.314958,TP
i278,v038,7.040367,TP
i279,v045,0.0,TP
i280,v061,0,FP
i281,v077,3.937267,TP
i282,v072,6.339667,TP
i283,v020,2.68,TP
i284,v024,20.02,TP
i285,v099,0,FP
i286,out,,TN
i287,v069,6.12,TP
i288,out,,TN
i289,v075,10.44,TP
i290,v050,14.806458,TP
i291,out,,TN
i292,v081,5.366667,TP
i293,v062,0,FP
i294,v074,2.5,TP
i295,v048,3.52,TP
i296,v006,7.233333,TP
i297,v029,4.233333,TP
i298,v035,4.045708,TP
i299,out,,TN
i300,out,,FN
i301,v057,2.2,TP
i302,v034,8.967292,TP
i303,v011,18.5,TP
i304,v094,10.477133,TP
i305,out,,TN
i306,out,,TN
i307,v050,7.841167,TP
i308,v008,19.16,TP
i309,v063,4.070733,TP
i310,v062,10.96,TP
i311,out,,TN
i312,v083,4.045708,TP
i313,v014,7.583333,TP
i314,v022,3.878875,TP
i315,v031,0.92,TP
i316,v032,17.3173,TP
i317,v080,13.847167,TP
i318,v061,0,FP
i319,v064,10.176833,TP
i320,v066,10.166667,TP
i321,out,,TN
i322,v057,16.64,TP
i323,v009,14.08,TP
i324,v062,4.8,TP
i325,v062,0,FP
i326,v057,9.56,TP
i327,v044,0,FP
i328,v023,11.745067,TP
i329,v003,5.9059,TP
i330,v080,14.981633,TP
i331,v082,1.067733,TP
i332,v028,3.5035,TP
i333,v028,3.370033,TP
i334,out,,TN
i335,v044,4.28,TP
i336,v027,1.1,TP
i337,v051,9.0,TP
i338,v077,19.986633,TP
i339,v042,10.9109,TP
i340,v064,14.481133,TP
i341,v044,3.08,TP
i342,v053,0.64,TP
i343,v078,19.894875,TP
i344,v043,2.669333,TP
i345,v016,2.7027,TP
i346,v018,11.177833,TP
i347,v047,1.334667,TP
i348,v029,6.266667,TP
i349,v013,9.884875,TP
i350,v038,1.968633,TP
i351,v011,3.416667,TP
i352,v024,16.1161,TP
i353,v043,6.840167,TP
i354,v011,10.5,TP
i355,v092,20.053367,TP
i356,v050,5.25525,TP
i357,v061,0,FP
i358,v090,0.1001,TP
i359,v053,14.6,TP
i360,v083,12.012,TP
i361,v033,2.635967,TP
i362,v044,0,FP
i363,v017,8.366667,TP
i364,out,,TN
i365,v066,8.5,TP
i366,out,,TN
i367,v067,4.9049,TP
i368,v024,4.471133,TP
i369,v008,9.32,TP
i370,v063,3.370033,TP
