image,video_pred,minutage_pred,evaluation
i000,v001,1.958333,TP
i001,v050,16.975292,TP
i002,out,,TN
i003,v042,17.584233,TP
i004,v075,0.92,TP
i005,v048,12.44,TP
i006,v042,5.572233,TP
i007,v021,12.44,TP
i008,out,,TN
i009,v064,7.974633,TP
i010,v059,9.566667,TP
i011,v001,3.958333,TP
i012,v062,12.44,TP
i013,v016,4.771433,TP
i014,out,,FN
i015,out,,FN
i016,v094,6.373033,TP
i017,v010,8.6,TP
i018,v081,1.983333,TP
i019,out,,FN
i020,v048,0.92,TP
i021,out,,FN
i022,out,,TN
i023,v070,22.04,TP
i024,v018,10.969292,TP
i025,v079,6.68,TP
i026,out,,FN
i027,v060,7.966292,TP
i028,out,,FN
i029,v048,4.76,TP
i030,v012,3.962292,TP
i031,v008,10.52,TP
i032,v022,6.965292,TP
i033,v010,6.68,TP
i034,v048,16.28,TP
i035,v076,0.766667,TP
i036,v032,16.783433,TP
i037,v077,7.173833,TP
i038,v079,0.92,TP
i039,v008,2.84,TP
i040,v046,3.970633,TP
i041,out,,TN
i042,out,,FN
i043,v034,0.959292,TP
i044,v008,14.36,TP
i045,v006,3.166667,TP
i046,v024,17.584233,TP
i047,v026,11.48,TP
i048,v038,6.373033,TP
i049,v062,6.68,TP
i050,v042,14.381033,TP
i051,v064,1.568233,TP
i052,v028,0.767433,TP
i053,v080,15.982633,TP
i054,v065,6.965292,TP
i055,out,,FN
i056,out,,TN
i057,v030,11.48,TP
i058,out,,TN
i059,out,,TN
i060,v056,16.783433,TP
i061,v076,0.766667,TP
i062,v024,8.775433,TP
i063,v095,3.8,TP
i064,out,,TN
i065,v024,13.580233,TP
i066,v019,0.959292,TP
i067,out,,TN
i068,v090,1.568233,TP
i069,v013,9.968292,TP
i070,v027,10.366667,TP
i071,v039,9.968292,TP
i072,v100,9.958333,TP
i073,v086,3.8,TP
i074,v065,13.972292,TP
i075,v078,16.975292,TP
i076,v070,23.0,TP
i077,v024,1.568233,TP
i078,v008,10.52,TP
i079,v075,9.56,TP
i080,v015,14.36,TP
i081,v017,4.766667,TP
i082,out,,TN
i083,v077,14.381033,TP
i084,v073,6.965292,TP
i085,v026,0.92,TP
i086,v040,8.6,TP
i087,out,,TN
i088,out,,TN
i089,out,,TN
i090,v089,18.2,TP
i091,out,,TN
i092,v087,19.16,TP
i093,v093,4.771433,TP
i094,v030,14.36,TP
i095,out,,TN
i096,v033,7.173833,TP
i097,v055,9.968292,TP
i098,v068,5.72,TP
i099,v055,0.959292,TP
i100,v009,4.76,TP
i101,v076,0,FP
i102,v091,6.373033,TP
i103,out,,FN
i104,v025,9.56,TP
i105,v054,0,FP
i106,v012,2.961292,TP
i107,v040,6.68,TP
i108,out,,TN
i109,out,,TN
i110,v011,15.958333,TP
i111,v084,6.68,TP
i112,out,,FN
i113,v068,4.76,TP
i114,v082,4.788117,TP
i115,out,,TN
i116,out,,FN
i117,v001,12.958333,TP
i118,v100,2.958333,TP
i119,v050,1.960292,TP
i120,v086,0.92,TP
i121,v025,3.8,TP
i122,v042,9.576233,TP
i123,v077,1.568233,TP
i124,v058,16.766667,TP
i125,v005,8.775433,TP
i126,v077,1.568233,TP
i127,v065,8.967292,TP
i128,v051,3.166667,TP
i129,v005,11.177833,TP
i130,v072,14.381033,TP
i131,v065,2.961292,TP
i132,v056,7.974633,TP
i133,v058,11.166667,TP
i134,v054,0,FP
i135,v057,20.12,TP
i136,v033,4.771433,TP
i137,out,,TN
i138,out,,TN
i139,v075,7.64,TP
i140,out,,FN
i141,out,,TN
i142,v070,3.8,TP
i143,v098,0.92,TP
i144,v090,6.373033,TP
i145,v003,4.771433,TP
i146,v017,3.966667,TP
i147,v005,7.974633,TP
i148,v095,14.36,TP
i149,v099,7.166667,TP
i150,v024,5.572233,TP
i151,v051,3.166667,TP
i152,v023,3.970633,TP
i153,out,,TN
i154,v053,11.48,TP
i155,v034,3.962292,TP
i156,out,,TN
i157,v030,4.76,TP
i158,v036,6.366667,TP
i159,v080,3.970633,TP
i160,out,,TN
i161,v025,0.92,TP
i162,out,,TN
i163,v030,1.88,TP
i164,v067,16.783433,TP
i165,out,,TN
i166,v097,5.964292,TP
i167,v042,3.970633,TP
i168,v051,3.166667,TP
i169,v049,11.978633,TP
i170,out,,TN
i171,v087,0.92,TP
i172,v072,15.982633,TP
i173,v076,6.366667,TP
i174,out,,TN
i175,v067,7.173833,TP
i176,v067,3.169833,TP
i177,v052,1.960292,TP
i178,v045,18.2,TP
i179,v013,14.973292,TP
i180,v032,14.381033,TP
i181,v056,16.783433,TP
i182,v016,6.373033,TP
i183,v026,7.64,TP
i184,out,,TN
i185,v013,1.960292,TP
i186,v029,9.566667,TP
i187,v072,8.775433,TP
i188,v041,13.972292,TP
i189,v078,11.970292,TP
i190,out,,TN
i191,out,,FN
i192,out,,TN
i193,v034,8.967292,TP
i194,out,,TN
i195,v082,2.385717,TP
i196,v046,10.377033,TP
i197,v079,12.44,TP
i198,v100,6.958333,TP
i199,v039,0.959292,TP
i200,v034,23.982292,TP
i201,v041,3.962292,TP
i202,v015,8.6,TP
i203,v001,7.958333,TP
i204,out,,TN
i205,v053,2.84,TP
i206,v078,9.968292,TP
i207,v058,13.566667,TP
i208,v048,10.52,TP
i209,out,,TN
i210,v059,5.566667,TP
i211,v010,11.48,TP
i212,v049,11.978633,TP
i213,v009,2.84,TP
i214,out,,TN
i215,v071,3.970633,TP
i216,out,,TN
i217,out,,TN
i218,v079,4.76,TP
i219,out,,TN
i220,v019,0.959292,TP
i221,v002,5.958333,TP
i222,v017,3.966667,TP
i223,out,,TN
i224,v062,0.92,TP
i225,v031,4.76,TP
i226,v089,12.44,TP
i227,v093,3.169833,TP
i228,v036,1.566667,TP
i229,v012,9.968292,TP
i230,out,,TN
i231,out,,TN
i232,v066,5.566667,TP
i233,v084,7.64,TP
i234,v004,4.76,TP
i235,out,,TN
i236,v007,18.385033,TP
i237,v003,0.767433,TP
i238,out,,TN
i239,v094,10.377033,TP
i240,v032,15.181833,TP
i241,v091,9.576233,TP
i242,v019,24.983292,TP
i243,out,,TN
i244,out,,FN
i245,v040,4.76,TP
i246,v037,7.966667,TP
i247,v065,0.959292,TP
i248,v006,3.166667,TP
i249,v023,0.767433,TP
i250,v020,7.64,TP
i251,v033,11.177833,TP
i252,v055,4.963292,TP
i253,v089,3.8,TP
i254,v041,1.960292,TP
i255,out,,TN
i256,v054,5.572233,TP
i257,out,,TN
i258,v058,3.966667,TP
i259,v074,8.766667,TP
i260,v064,3.169833,TP
i261,out,,TN
i262,v076,10.366667,TP
i263,v023,7.173833,TP
i264,v085,6.965292,TP
i265,out,,TN
i266,out,,TN
i267,out,,TN
i268,v092,18.385033,TP
i269,out,,TN
i270,v010,8.6,TP
i271,out,,TN
i272,out,,TN
i273,out,,TN
i274,v091,1.568233,TP
i275,v018,3.962292,TP
i276,out,,TN
i277,v034,21.980292,TP
i278,v038,3.970633,TP
i279,v045,0.92,TP
i280,out,,TN
i281,v077,1.568233,TP
i282,v072,6.373033,TP
i283,v020,2.84,TP
i284,v024,19.986633,TP
i285,out,,TN
i286,out,,TN
i287,v069,6.68,TP
i288,out,,TN
i289,v075,9.56,TP
i290,v050,14.973292,TP
i291,out,,TN
i292,v081,4.783333,TP
i293,out,,TN
i294,v074,2.366667,TP
i295,v048,13.4,TP
i296,v006,7.966667,TP
i297,v029,4.766667,TP
i298,v035,6.965292,TP
i299,out,,TN
i300,out,,FN
i301,v057,1.88,TP
i302,v034,10.969292,TP
i303,v011,18.958333,TP
i304,v094,10.377033,TP
i305,out,,TN
i306,out,,TN
i307,v050,8.967292,TP
i308,v008,19.16,TP
i309,v063,3.970633,TP
i310,v062,10.52,TP
i311,out,,TN
i312,v083,3.962292,TP
i313,v014,8.958333,TP
i314,v022,1.960292,TP
i315,v031,2.84,TP
i316,v032,10.377033,TP
i317,v080,14.381033,TP
i318,out,,TN
i319,v064,10.377033,TP
i320,v066,10.366667,TP
i321,out,,TN
i322,v057,19.16,TP
i323,v009,13.4,TP
i324,v062,4.76,TP
i325,out,,TN
i326,v057,8.6,TP
i327,out,,TN
i328,v023,12.779433,TP
i329,v003,2.369033,TP
i330,v080,15.181833,TP
i331,v082,1.184517,TP
i332,v028,6.373033,TP
i333,v028,3.970633,TP
i334,out,,TN
i335,v044,0.92,TP
i336,v027,2.366667,TP
i337,v051,7.966667,TP
i338,v077,2.369033,TP
i339,v042,11.177833,TP
i340,v064,15.181833,TP
i341,v044,0.92,TP
i342,v053,3.8,TP
i343,v078,19.978292,TP
i344,v043,1.960292,TP
i345,v016,3.169833,TP
i346,v018,13.972292,TP
i347,out,,FN
i348,v029,5.566667,TP
i349,v013,8.967292,TP
i350,v038,2.369033,TP
i351,v011,1.958333,TP
i352,v024,16.783433,TP
i353,v043,3.962292,TP
i354,out,,FN
i355,v092,7.173833,TP
i356,v050,4.963292,TP
i357,out,,TN
i358,v090,0.767433,TP
i359,v053,14.36,TP
i360,v083,9.968292,TP
i361,v033,2.369033,TP
i362,out,,TN
i363,out,,FN
i364,out,,TN
i365,v066,8.766667,TP
i366,out,,TN
i367,v067,15.982633,TP
i368,v024,4.771433,TP
i369,v008,8.6,TP
i370,v063,1.568233,TP
i371,v063,8.775433,TP
i372,v036,3.166667,TP
i373,v096,10.377033,TP
i374,v031,6.68,TP
i375,v067,16.783433,TP
i376,v021,11.48,TP
i377,out,,TN
i378,v064,3.970633,TP
i379,out,,TN
i380,v061,5.964292,TP
i381,v075,9.56,TP
i382,v034,18.977292,TP
i383,v076,6.366667,TP
i384,v087,10.52,TP
i385,v069,7.64,TP
i386,out,,TN
i387,v061,0.959292,TP
i388,v002,2.958333,TP
i389,v032,18.385033,TP
i390,v001,11.958333,TP
